中医症状 状态要素 标签数
怕风,发热,汗出 外风,寒,表 3
怕风,发热,无汗 外风,寒,表 3
怕风,汗出,项强 外风,寒,表,经络 4
怕风,无汗,项强 外风,寒,表,经络 4
怕风,骨节疼痛,心烦,汗出,气短 外风,寒,膀胱,关节 4
怕风,发热,口渴,舌燥,心烦 外风,寒,心,津亏 4
怕冷,发热,无汗 外风,寒,表 3
怕冷,发热,口渴 外风,寒,热,表 4
怕冷,发热,汗出 外风,寒,表 3
怕冷,脉浮,小便多 肺,膀胱,表,外风,寒,阳虚 6
怕冷,呕吐,胸闷 外风,寒,半表半里,胃 4
怕冷,头汗出,手足冷 外风,寒,半表半里 3
怕冷,发热,无汗,心烦,脉浮 外风,寒,表,热 4
怕冷,发热,咳嗽,干呕 外风,表,寒,热,胃,肺 6
怕冷,脉迟,汗出 外风,寒,表 3
汗出,怕风,脉缓 外风,热,表 3
发热,无汗,身痛 外风,热,表 3
发热,汗出,脉洪大 外风,热,表 3
发热,无汗,脉微缓 外风,热,表 3
发热,无汗,头身疼痛 外风,热,表 3
发热,怕冷,脉微弱 外风,热,表 3
发热,汗出,脉浮 外风,热,表 3
咳嗽,怕冷,发热,干呕 肺,胃,表,寒,热,饮 6
咳嗽,泄泻,干呕,口渴,心烦 肺,胃,肠,心神,膀胱,阴虚,湿,热 8
咳嗽,咽喉疼痛 肺,咽,热 3
咳嗽,咽喉疼痛 肺,咽,热 3
腹胀,气喘 咽,肺,表,热,胆,肠,外风,寒 8
咽干,口苦,目眩 咽,半表半里 2
咽干,口干,发热,汗出 咽,肠,胃,热,燥屎,津亏 6
咽喉疼痛,呕吐,泄泻,脉紧 寒,气滞,咽,胃,肠 5
咽喉疼痛,心烦,泄泻,胸满 咽,肾,阴虚 3
咽喉疼痛,咳嗽 热,咽,肺 3
咽喉疼痛,口不渴 寒,痰,咽 3
咽喉疼痛,面红,手足冷 咽,肾,阳虚,阳浮 4
咽喉疼痛,发热,汗出,口渴 热,毒,咽 3
咽喉疼痛,咳嗽,发热,头晕,目眩 咽,肺,热 3
心胸懊恼,起卧不安,身热 热,胸膈 2
心胸懊恼,胸痛,腹痛,心烦,气短 外风,痰,热,表,胸膈,心神,肝,胆,湿 9
心胸懊恼,身黄 胸膈,肝,胆,湿,热 5
心胸懊恼,饥不能食 胃,胸膈,热,心神 4
心胸懊恼,大便干,腹胀,心烦 胸膈,脾,气虚,湿,热,燥屎,胃,肠 8
心胸懊恼,身热,心烦,腹冷 热,胸膈,心,脾,胃,阳虚 6
心胸懊恼,大便干,小便多 胸膈,津亏,燥,热,心神,膀胱 6
失眠,心烦,汗出,发热,不呕,不渴 阳浮,阳虚,肾,心神 4
失眠,心烦,口渴 心神,热,燥,津亏,膀胱,胃 6
失眠,心烦,起卧不安 心神,热,胸膈,脾,胃,阳虚 6
失眠,双目僵硬 阴虚,血虚,心神 3
失眠,心烦,泄泻,咳嗽,干呕,口渴 肾,阴虚,膀胱,心神,湿,热 6
心烦,腹胀,身热,起卧不安 热,胸膈,胃,心神 4
心烦,口苦,咽干,胸胁满 心神,半表半里,胆,热,气滞 5
心烦,头汗出,小便不利,口渴,不呕 心神,半表半里,胆,阳郁,饮,热 6
心烦,身热,怕冷,口渴 胃,心神,热,气虚,津亏 5
心烦,不呕,不泄泻 心神,胃,热,气滞 4
心烦,干呕,泄泻,肠鸣,腹胀 胃,肠,心,湿,热,气虚 6
心烦,泄泻,口渴,昏昏沉沉 心,肾,阳虚 3
心烦,泄泻,咽痛,胸满,手足热 心,肠,肾,阴虚 4
心烦,口渴,干呕,小便不利 心,肾,阴虚,膀胱,湿 5
心烦,失眠,起卧不安 肾,阴虚,心,阳亢 4
心悸,脐下悸,有气上冲心胸 心,阳虚,肾,气逆 4
心悸,有气上冲心胸 心,肾,阳虚,少腹,寒,气逆 6
心悸,心烦,脉弱 心,脾,阳虚,气虚,血虚,外风,寒,表 8
心悸,汗出,胸腹喜按 心,阳虚 2
心悸,发热,头晕,目眩,身体颤动 肾,心神,阳虚,寒 4
心悸,心烦,口苦 心,半表半里,胆,热,气滞 5
心悸,手足冷,泄泻 寒,阳郁,胃,肠,心 5
心悸,脉结代 心,阴虚,阳虚,气虚,血虚 5
心悸,身重,气短,脉弱 心,外风,寒,湿,气虚,阳虚 6
心痛,身热,心烦 热,胸膈 2
心痛,有气上冲心胸,口渴,饥不欲食,呕吐,泄泻 热,寒,肝,胃,肠,胸膈 6
胸满,胸闷,气短,脉促 外风,寒,表,胸膈,阳郁,气虚,气滞 7
胸满,胁痛,口苦,咽干 胸膈,半表半里,胆,热,气滞 5
胸满,心烦,小便不利,谵语,身重 胸膈,半表半里,热,心神,膀胱 5
胸满,泄泻,咽痛,手足热 胸膈,肾,咽,阴虚 4
不大便,谵语,身体枯燥不荣,手足躁扰不宁 燥屎,热,毒,阴虚,津亏,肠 6
不大便,心烦,腹胀,腹痛 燥屎,热,肠,心神 4
不大便,汗出,谵语,潮热 热,燥屎,肠,气虚,血虚 5
不大便,潮热,谵语,腹痛,汗出 热,燥屎,胃,肠 4
不大便,小便多 热,胃,脾,膀胱,阴虚,津亏,肠,燥 8
不大便,腹胀,腹痛,口渴,舌燥,潮热 胸膈,热,燥屎,胃,肠 5
大便干硬,小便不利,呕吐 胃,肠,膀胱,热,燥屎,津亏,阳亢,阳虚,气虚 9
大便干硬,头汗出,手足冷,腹胀,不欲食,口苦 燥屎,半表半里,胆,热,气滞 5
大便干硬,骨节疼痛,心烦,不呕,不渴 燥屎,阳虚,寒,湿,肌肤,脾 6
大便干硬,汗出,谵语 热,燥屎,胃,肠 4
大便干硬,手足汗出,谵语 热,燥屎,胃,肠 4
大便干硬,发热,心烦 燥屎,胃,热,心 4
大便干硬,口干,舌燥,肌肤枯燥不荣 燥屎,肠,津亏,燥,热 5
大便干硬,小便多,脉浮涩 燥屎,热,胃,脾,膀胱,阴虚,津亏,肠 8
腹痛,心烦,寸脉浮,关脉沉 饮,热,心神,少腹 4
腹痛,手足冷,腹胀 寒,少腹,膀胱 3
腹痛,腹胀,脉浮滑 痰,热,胃,少腹 4
腹痛,心烦,气短,无汗 外风,寒,心,少腹 4
腹痛,泄泻,小便不利,大便脓血 脾,肾,肠,膀胱,阳虚,气虚,动血 7
腹痛,身重,身痛,小便不利 少腹,膀胱,肾,阳虚,湿,饮,寒 7
腹痛,泄泻,面红,手足冷,脉微 少腹,肾,阳虚,阳浮 4
腹痛,肉上粟起,口不渴 少腹,寒,饮,湿,热,肌肤 6
腹痛,手足冷 少腹,寒,阳郁 3
腹痛,泄泻,肠鸣 少腹,胃,肠,肝,阳虚,寒 6
腹痛,呕吐,泄泻 气滞,寒,湿,胃,肠 5
腹痛,心悸,心烦,手足热 脾,心神,阳虚,气虚,血虚 5
腹痛,呕吐,身热 胃,热,脾,肠,寒 5
腹痛,干呕,肠鸣,泄泻 胃,气虚,湿,热,饮,食积 6
腹痛,腹胀,肠鸣,干呕,心烦 胃,心,气虚,气逆,湿,热 6
腹胀,心烦,身热,起卧不安 热,胸膈,胃 3
腹胀,身重,汗出,手足冷,谵语,语言不利 胃,热,湿 3
腹胀,心烦,头晕,目眩,小便不利,脉迟 少腹,寒,心神,膀胱 4
腹胀,气短,身重,潮热 热,湿,燥屎,胃,肠 5
腹胀,呕吐,泄泻 气滞,寒,湿,胃,肠 5
腹胀,口干,发热,汗出,身重 胃,胸膈,热,心神 4
腹胀,谵语,身体枯燥不荣,手足躁扰不宁 少腹,热,毒,阴虚,津亏 5
腹胀,腹痛 脾,经络,气滞,血瘀 4
腹胀,汗出,腹痛 脾,阳虚,气滞 3
腹胀,发热,呕吐 胃,热,气滞 3
腹胀,泄泻,身痛,手足冷 肾,脾,肠,阳虚,寒 5
